Diet,8-iso-15R-PGF2a,TXB2,8-iso-PGF2a,PGE2,PGF2a,PGD2,PGI2 analog,LTD4,Protectin DX,LTE4,18-HEPE,12-HEPE,13-OxoODE,13-HODE,9-HODE,15S-HETE,17(S)-HDHA,9-OxoODE,14(S)-HDHA,12S-HETE,8S-HETE,14(15)-EET,5S-HETE,11(12)-EET,TXA2 analog,8(9)-EET
Con,0.0086,5.2181,0.0278,0.2384,0.4562,0.1312,0.1731,0.0209,0.0048,0.0717,0,2.4685,2.1179,7.1586,3.1028,2.4115,2.0368,1.4308,6.0786,109.1968,0.9614,0.012,0.198,0.0141,0.0416,0.0527
Con,0.0116,10.6841,0.0415,0.28,0.7259,0.3645,0.1688,0.0187,0.003,0.0477,0,1.3747,0.7981,3.0709,2.018,1.6799,0.4971,0.7902,3.7485,116.6607,0.5723,0.0053,0.1046,0.0186,0.0062,0.035
Con,0.0158,5.8963,0.0574,0.2802,0.5471,0.3278,0.1715,0,0.0092,0.0307,0,3.5473,2.7703,10.2814,4.8722,3.1066,3.1011,1.8631,8.8301,96.6495,0.9218,0.0159,0.2559,0.0494,0.0082,0.1027
Con,0.1117,2.4252,0.0996,0.596,0.8592,1.1304,0,0,0.0844,0.2259,0,0,13.3837,32.3045,22.969,6.8018,10.2698,11.3319,11.639,23.9416,3.2013,0.0767,1.6127,0.1891,0.0714,0.4105
Con,0.016,0.8186,0.0219,0.6882,0.1973,0.2031,0.0253,0.0326,0.0218,0.0377,0.5192,2.3705,7.4883,44.5008,24.3196,3.2213,4.7718,4.9804,7.8404,39.9722,0.9668,0.0223,0.3938,0.0901,0.0183,0.1893
HF,0.026,2.7019,0.0491,0.5353,0.4043,0.3887,0.0486,0.057,0,0.3555,0,1.1718,2.8112,6.6186,5.0699,3.3396,1.6211,2.6672,3.665,109.9016,1.3288,0.0336,0.5143,0.0997,0.0149,0.1976
HF,0.0264,1.2346,0.055,0.2618,0.3688,0.2538,0,0.0227,0.0512,0.0563,0.3471,0.9738,10.9109,42.3634,13.3652,6.7848,8.7368,13.5847,14.1111,27.0507,0.9145,0.1009,1.5204,0.1568,0.0522,0.4315
HF,0.0169,5.3426,0.0455,0.1907,0.4752,0.0975,0.1794,0,0.0129,0.0672,0,2.3812,1.2955,6.6015,2.0301,2.7372,2.1563,0.9336,11.1508,106.5495,0.9601,0.0179,0.2629,0.0564,0.0113,0.0814
HF,0.0151,1.3941,0.0159,0.0478,0.1242,0.0816,0.0281,0.0097,0.015,0.016,0.33,2.0038,6.0455,13.1928,4.4445,3.7187,2.1868,3.8226,9.5244,93.6531,1.613,0.0532,0.7536,0.1671,0.0933,0.3856
HF,0.0211,1.8253,0.0539,0.5726,0.5453,0.1469,0.1335,0.0245,0.0084,0.1399,0.2355,1.8418,1.5858,11.1611,6.4867,2.7894,1.5651,1.9218,6.8315,104.471,0.6732,0.0257,0.3952,0.0656,0.0152,0.1369
EPA,0.0151,2.5085,0.0194,0.2103,0.1734,0.0872,0.0128,0.0144,0.0072,0.0407,1.1853,49.4672,1.1911,4.4627,1.6356,1.7544,3.9041,0.9459,15.2688,60.0669,0.5431,0.009,0.1427,0.0245,0.0037,0.0416
EPA,0.0099,0.5623,0.0137,0.2701,0.1559,0.0892,0.0361,0,0.0452,0.011,0.9547,51.9812,2.4199,19.1514,2.5481,2.0042,3.0976,2.4585,29.586,27.4424,0.3892,0.0196,0.2768,0.0618,0.0119,0.1256
EPA,0.0075,2.7413,0.0092,0.0851,0.1639,0.063,0.0488,0,0.0066,0.0155,0.7723,34.1378,1.956,4.4637,1.8004,1.8496,3.4501,1.6597,11.3391,77.6126,1.0841,0.0189,0.2902,0.0485,0.0087,0.1027
EPA,0.0406,2.6796,0.0418,0.3184,0.417,0.251,0,0.1002,0.024,0.2769,1.5698,47.0319,2.4313,8.3157,3.0595,3.109,6.0634,1.699,11.9378,53.0289,0.8289,0.0192,0.306,0.0595,0.0056,0.096
EPA,0.0138,1.5797,0.0126,0.0719,0.2251,0.2638,0,0,0.0208,0.0511,1.1754,46.0906,2.2349,7.086,3.7174,1.1685,4.4551,2.1622,11.6226,60.8722,0.5479,0.0149,0.1882,0.0391,0.0307,0.0908
